date,state,district,age_0_5,age_5_17,age_18_greater
2025-03-11,Odisha,Koraput,17,3,0
2025-03-11,Odisha,Malkangiri,13,2,0
2025-03-11,Odisha,Mayurbhanj,35,13,0
2025-03-11,Odisha,Nabarangapur,12,9,0
2025-03-11,Odisha,Nayagarh,11,1,0
2025-03-11,Odisha,Nuapada,14,0,0
2025-03-11,Odisha,Puri,16,7,0
2025-03-11,Odisha,Rayagada,7,3,0
2025-03-11,Odisha,Sambalpur,11,1,0
2025-03-11,Odisha,Sonapur,8,0,0
2025-03-11,Odisha,Sundargarh,2,0,0
2025-03-11,Odisha,Sundergarh,19,5,0
2025-03-11,Odisha,jajpur,0,1,0
2025-03-11,Orissa,Balangir,1,0,0
2025-03-11,Orissa,Baleshwar,1,0,0
2025-03-11,Orissa,Bhadrak,2,0,0
2025-03-11,Orissa,Cuttack,3,0,0
2025-03-11,Orissa,Dhenkanal,1,0,0
2025-03-11,Orissa,Gajapati,1,0,0
2025-03-11,Orissa,Ganjam,3,1,0
2025-03-11,Orissa,Jajapur,1,0,0
2025-03-11,Orissa,Kendrapara,1,0,0
2025-03-11,Orissa,Kendujhar,0,1,0
2025-03-11,Orissa,Khordha,2,1,0
2025-03-11,Orissa,Malkangiri,1,0,0
2025-03-11,Orissa,Nayagarh,2,0,0
2025-03-11,Orissa,Puri,2,0,0
2025-03-11,Pondicherry,Karaikal,4,0,0
2025-03-11,Pondicherry,Pondicherry,13,1,0
2025-03-11,Puducherry,Karaikal,4,0,2
2025-03-11,Puducherry,Puducherry,17,2,1
2025-03-11,Puducherry,Yanam,0,1,0
2025-03-11,Punjab,Amritsar,30,10,1
2025-03-11,Punjab,Barnala,4,2,0
2025-03-11,Punjab,Bathinda,13,2,0
2025-03-11,Punjab,Faridkot,5,1,0
2025-03-11,Punjab,Fatehgarh Sahib,5,1,0
2025-03-11,Punjab,Fazilka,6,2,0
2025-03-11,Punjab,Ferozepur,4,2,0
2025-03-11,Punjab,Gurdaspur,15,3,0
2025-03-11,Punjab,Hoshiarpur,15,2,1
2025-03-11,Punjab,Jalandhar,23,9,1
2025-03-11,Punjab,Kapurthala,5,5,20
2025-03-11,Punjab,Ludhiana,52,26,8
2025-03-11,Punjab,Malerkotla,2,0,0
2025-03-11,Punjab,Mansa,2,0,0
2025-03-11,Punjab,Moga,8,0,0
2025-03-11,Punjab,Muktsar,1,0,0
2025-03-11,Punjab,Pathankot,1,0,0
2025-03-11,Punjab,Patiala,28,3,0
2025-03-11,Punjab,Rupnagar,7,0,0
2025-03-11,Punjab,S.A.S Nagar(Mohali),2,0,0
2025-03-11,Punjab,SAS Nagar (Mohali),10,4,1
2025-03-11,Punjab,Sangrur,15,3,0
2025-03-11,Punjab,Shaheed Bhagat Singh Nagar,2,0,0
2025-03-11,Punjab,Sri Muktsar Sahib,5,2,0
2025-03-11,Punjab,Tarn Taran,11,4,0
2025-03-11,Rajasthan,Ajmer,37,7,1
2025-03-11,Rajasthan,Alwar,50,43,1
2025-03-11,Rajasthan,Banswara,23,30,0
2025-03-11,Rajasthan,Baran,21,11,3
2025-03-11,Rajasthan,Barmer,47,31,0
2025-03-11,Rajasthan,Bharatpur,47,33,1
2025-03-11,Rajasthan,Bhilwara,21,17,1
2025-03-11,Rajasthan,Bikaner,20,18,1
2025-03-11,Rajasthan,Bundi,14,4,2
2025-03-11,Rajasthan,Chittaurgarh,1,0,0
2025-03-11,Rajasthan,Chittorgarh,10,9,0
2025-03-11,Rajasthan,Churu,33,31,2
2025-03-11,Rajasthan,Dausa,23,16,0
2025-03-11,Rajasthan,Dhaulpur,1,0,0
2025-03-11,Rajasthan,Dholpur,22,11,0
2025-03-11,Rajasthan,Dungarpur,31,22,0
2025-03-11,Rajasthan,Ganganagar,22,5,1
2025-03-11,Rajasthan,Hanumangarh,9,5,0
2025-03-11,Rajasthan,Jaipur,74,56,0
2025-03-11,Rajasthan,Jaisalmer,5,3,0
2025-03-11,Rajasthan,Jalor,30,37,0
2025-03-11,Rajasthan,Jhalawar,15,14,0
2025-03-11,Rajasthan,Jhunjhunu,0,1,0
2025-03-11,Rajasthan,Jhunjhunun,31,9,1
2025-03-11,Rajasthan,Jodhpur,42,23,1
2025-03-11,Rajasthan,Karauli,23,10,0
2025-03-11,Rajasthan,Kota,26,8,2
2025-03-11,Rajasthan,Nagaur,51,29,1
2025-03-11,Rajasthan,Pali,28,27,1
2025-03-11,Rajasthan,Pratapgarh,7,5,0
2025-03-11,Rajasthan,Rajsamand,20,6,1
2025-03-11,Rajasthan,Sawai Madhopur,23,13,0
2025-03-11,Rajasthan,Sikar,32,18,0
2025-03-11,Rajasthan,Sirohi,25,17,1
2025-03-11,Rajasthan,Tonk,13,9,0
2025-03-11,Rajasthan,Udaipur,53,66,0
2025-03-11,Sikkim,East,0,1,0
2025-03-11,Sikkim,East Sikkim,1,1,0
2025-03-11,Sikkim,North Sikkim,1,1,0
2025-03-11,Sikkim,South,2,1,0
2025-03-11,Sikkim,South Sikkim,0,2,0
2025-03-11,Sikkim,West,0,2,0
2025-03-11,Sikkim,West Sikkim,0,1,0
2025-03-11,Tamil Nadu,Ariyalur,53,20,2
2025-03-11,Tamil Nadu,Chengalpattu,8,8,0
2025-03-11,Tamil Nadu,Chennai,149,48,2
2025-03-11,Tamil Nadu,Coimbatore,157,35,0
2025-03-11,Tamil Nadu,Cuddalore,159,35,0
2025-03-11,Tamil Nadu,Dharmapuri,115,15,0
2025-03-11,Tamil Nadu,Dindigul,67,37,0
2025-03-11,Tamil Nadu,Erode,99,32,0
2025-03-11,Tamil Nadu,Kallakurichi,10,1,0
2025-03-11,Tamil Nadu,Kancheepuram,168,82,0
2025-03-11,Tamil Nadu,Kanniyakumari,31,3,0
2025-03-11,Tamil Nadu,Kanyakumari,36,0,0
2025-03-11,Tamil Nadu,Karur,64,17,0
2025-03-11,Tamil Nadu,Krishnagiri,57,32,0
2025-03-11,Tamil Nadu,Madurai,129,22,0
2025-03-11,Tamil Nadu,Mayiladuthurai,10,2,0
2025-03-11,Tamil Nadu,Nagapattinam,70,24,0
2025-03-11,Tamil Nadu,Namakkal,55,14,0
2025-03-11,Tamil Nadu,Perambalur,37,7,0
2025-03-11,Tamil Nadu,Pudukkottai,106,51,0
2025-03-11,Tamil Nadu,Ramanathapuram,68,23,1
2025-03-11,Tamil Nadu,Ranipet,3,0,0
2025-03-11,Tamil Nadu,Salem,139,24,1
2025-03-11,Tamil Nadu,Sivaganga,69,20,0
2025-03-11,Tamil Nadu,Tenkasi,26,3,0
2025-03-11,Tamil Nadu,Thanjavur,93,36,0
2025-03-11,Tamil Nadu,The Nilgiris,22,10,0
2025-03-11,Tamil Nadu,Theni,59,23,0
2025-03-11,Tamil Nadu,Thiruvallur,4,1,0
2025-03-11,Tamil Nadu,Thiruvarur,65,13,0
2025-03-11,Tamil Nadu,Thoothukkudi,93,22,0
2025-03-11,Tamil Nadu,Tiruchirappalli,143,46,0
2025-03-11,Tamil Nadu,Tirunelveli,152,42,0
2025-03-11,Tamil Nadu,Tirupattur,18,2,0
2025-03-11,Tamil Nadu,Tiruppur,107,35,0
2025-03-11,Tamil Nadu,Tiruvallur,165,72,0
2025-03-11,Tamil Nadu,Tiruvannamalai,131,19,0
2025-03-11,Tamil Nadu,Tuticorin,0,1,0
2025-03-11,Tamil Nadu,Vellore,166,23,0
2025-03-11,Tamil Nadu,Villupuram,85,25,0
2025-03-11,Tamil Nadu,Viluppuram,67,28,0
2025-03-11,Tamil Nadu,Virudhunagar,65,18,1
2025-03-11,Telangana,Adilabad,20,6,0
2025-03-11,Telangana,Bhadradri Kothagudem,21,8,0
2025-03-11,Telangana,Hanumakonda,7,1,0
2025-03-11,Telangana,Hyderabad,116,27,12
2025-03-11,Telangana,Jagitial,10,1,3
2025-03-11,Telangana,Jangaon,1,0,0
2025-03-11,Telangana,Jangoan,12,1,0
2025-03-11,Telangana,Jayashankar Bhupalpally,4,3,0
2025-03-11,Telangana,Jogulamba Gadwal,20,9,0
2025-03-11,Telangana,K.v. Rangareddy,76,35,2
2025-03-11,Telangana,Kamareddy,23,2,0
2025-03-11,Telangana,Karimnagar,61,5,0
2025-03-11,Telangana,Khammam,29,7,0
2025-03-11,Telangana,Komaram Bheem,2,4,0
2025-03-11,Telangana,Mahabubabad,24,2,0
2025-03-11,Telangana,Mahabubnagar,70,19,0
2025-03-11,Telangana,Mancherial,5,1,0
2025-03-11,Telangana,Medak,64,11,0
2025-03-11,Telangana,Medchal-malkajgiri,22,4,6
2025-03-11,Telangana,Medchal−malkajgiri,3,1,0
2025-03-11,Telangana,Mulugu,13,3,0
2025-03-11,Telangana,Nagarkurnool,13,5,0
2025-03-11,Telangana,Nalgonda,44,9,0
2025-03-11,Telangana,Narayanpet,5,4,0
2025-03-11,Telangana,Nirmal,16,1,0
2025-03-11,Telangana,Nizamabad,50,6,1
2025-03-11,Telangana,Peddapalli,4,1,0
2025-03-11,Telangana,Rajanna Sircilla,4,0,0
2025-03-11,Telangana,Rangareddy,1,0,0
2025-03-11,Telangana,Sangareddy,16,3,0
2025-03-11,Telangana,Siddipet,12,3,0
2025-03-11,Telangana,Suryapet,20,2,0
2025-03-11,Telangana,Vikarabad,18,5,0
2025-03-11,Telangana,Wanaparthy,9,4,0
2025-03-11,Telangana,Warangal,22,3,0
2025-03-11,Telangana,Warangal Rural,8,0,1
2025-03-11,Telangana,Warangal Urban,5,0,0
2025-03-11,Telangana,Yadadri.,13,0,0
2025-03-11,Tripura,Dhalai,4,3,1
2025-03-11,Tripura,Gomati,2,3,0
2025-03-11,Tripura,Khowai,3,1,0
2025-03-11,Tripura,North Tripura,2,1,0
2025-03-11,Tripura,Sepahijala,9,3,0
2025-03-11,Tripura,South Tripura,13,12,0
2025-03-11,Tripura,Unakoti,3,0,0
2025-03-11,Tripura,West Tripura,27,6,0
2025-03-11,Uttar Pradesh,Agra,56,46,3
2025-03-11,Uttar Pradesh,Aligarh,25,34,0
2025-03-11,Uttar Pradesh,Allahabad,46,36,5
2025-03-11,Uttar Pradesh,Ambedkar Nagar,30,31,0
2025-03-11,Uttar Pradesh,Amethi,34,23,1
2025-03-11,Uttar Pradesh,Amroha,26,18,0
2025-03-11,Uttar Pradesh,Auraiya,22,15,0
2025-03-11,Uttar Pradesh,Ayodhya,1,1,0
2025-03-11,Uttar Pradesh,Azamgarh,44,90,4
2025-03-11,Uttar Pradesh,Baghpat,14,9,0
2025-03-11,Uttar Pradesh,Bahraich,24,51,8
2025-03-11,Uttar Pradesh,Ballia,17,42,0
2025-03-11,Uttar Pradesh,Balrampur,15,40,5
2025-03-11,Uttar Pradesh,Banda,21,17,0
2025-03-11,Uttar Pradesh,Bara Banki,35,25,0
2025-03-11,Uttar Pradesh,Barabanki,2,0,0
2025-03-11,Uttar Pradesh,Bareilly,64,43,8
2025-03-11,Uttar Pradesh,Basti,29,34,0
2025-03-11,Uttar Pradesh,Bhadohi,2,4,0
2025-03-11,Uttar Pradesh,Bijnor,84,24,1
2025-03-11,Uttar Pradesh,Budaun,22,36,3
2025-03-11,Uttar Pradesh,Bulandshahar,0,1,0
2025-03-11,Uttar Pradesh,Bulandshahr,34,46,0
2025-03-11,Uttar Pradesh,Chandauli,18,24,0
2025-03-11,Uttar Pradesh,Chitrakoot,18,20,0
2025-03-11,Uttar Pradesh,Deoria,14,22,1
2025-03-11,Uttar Pradesh,Etah,17,13,4
2025-03-11,Uttar Pradesh,Etawah,18,17,1
2025-03-11,Uttar Pradesh,Faizabad,25,15,0
2025-03-11,Uttar Pradesh,Farrukhabad,22,31,0
2025-03-11,Uttar Pradesh,Fatehpur,32,40,0
2025-03-11,Uttar Pradesh,Firozabad,18,23,2
2025-03-11,Uttar Pradesh,Gautam Buddha Nagar,24,30,1
2025-03-11,Uttar Pradesh,Ghaziabad,54,47,20
2025-03-11,Uttar Pradesh,Ghazipur,32,56,0
2025-03-11,Uttar Pradesh,Gonda,34,25,0
2025-03-11,Uttar Pradesh,Gorakhpur,26,35,2
2025-03-11,Uttar Pradesh,Hamirpur,18,3,0
2025-03-11,Uttar Pradesh,Hapur,16,5,0
2025-03-11,Uttar Pradesh,Hardoi,69,56,3
2025-03-11,Uttar Pradesh,Hathras,24,11,1
2025-03-11,Uttar Pradesh,Jalaun,14,16,0
2025-03-11,Uttar Pradesh,Jaunpur,31,55,0
2025-03-11,Uttar Pradesh,Jhansi,36,19,0
2025-03-11,Uttar Pradesh,Kannauj,22,26,0
2025-03-11,Uttar Pradesh,Kanpur Dehat,25,18,0
2025-03-11,Uttar Pradesh,Kanpur Nagar,44,52,2
2025-03-11,Uttar Pradesh,Kasganj,5,14,0
2025-03-11,Uttar Pradesh,Kaushambi,16,16,0
2025-03-11,Uttar Pradesh,Kheri,47,73,1
2025-03-11,Uttar Pradesh,Kushinagar,22,38,0
2025-03-11,Uttar Pradesh,Lalitpur,28,10,0
2025-03-11,Uttar Pradesh,Lucknow,58,43,1
2025-03-11,Uttar Pradesh,Maharajganj,12,37,2
2025-03-11,Uttar Pradesh,Mahoba,21,4,0
2025-03-11,Uttar Pradesh,Mainpuri,23,29,0
2025-03-11,Uttar Pradesh,Mathura,25,45,1
2025-03-11,Uttar Pradesh,Mau,14,31,0
2025-03-11,Uttar Pradesh,Meerut,58,40,3
2025-03-11,Uttar Pradesh,Mirzapur,20,25,0
2025-03-11,Uttar Pradesh,Moradabad,36,18,0
2025-03-11,Uttar Pradesh,Muzaffarnagar,31,29,1
2025-03-11,Uttar Pradesh,Pilibhit,28,9,1
2025-03-11,Uttar Pradesh,Pratapgarh,37,21,0
2025-03-11,Uttar Pradesh,Prayagraj,2,7,0
2025-03-11,Uttar Pradesh,Rae Bareli,39,19,1
2025-03-11,Uttar Pradesh,Rampur,43,34,2
2025-03-11,Uttar Pradesh,Saharanpur,59,15,0
2025-03-11,Uttar Pradesh,Sambhal,16,34,5
2025-03-11,Uttar Pradesh,Sant Kabir Nagar,11,21,0
2025-03-11,Uttar Pradesh,Sant Ravidas Nagar,10,17,0
2025-03-11,Uttar Pradesh,Sant Ravidas Nagar Bhadohi,1,0,0
2025-03-11,Uttar Pradesh,Shahjahanpur,36,36,2
2025-03-11,Uttar Pradesh,Shamli,33,16,0
2025-03-11,Uttar Pradesh,Shrawasti,8,11,2
2025-03-11,Uttar Pradesh,Siddharthnagar,17,58,1
2025-03-11,Uttar Pradesh,Sitapur,60,78,11
2025-03-11,Uttar Pradesh,Sonbhadra,9,15,0
2025-03-11,Uttar Pradesh,Sultanpur,38,19,0
2025-03-11,Uttar Pradesh,Unnao,25,32,0
2025-03-11,Uttar Pradesh,Varanasi,44,75,0
2025-03-11,Uttarakhand,Almora,18,1,0
2025-03-11,Uttarakhand,Bageshwar,11,0,0
2025-03-11,Uttarakhand,Chamoli,18,1,0
2025-03-11,Uttarakhand,Champawat,8,2,0
2025-03-11,Uttarakhand,Dehradun,47,12,1
2025-03-11,Uttarakhand,Hardwar,3,0,0
2025-03-11,Uttarakhand,Haridwar,55,13,0
2025-03-11,Uttarakhand,Nainital,49,4,0
2025-03-11,Uttarakhand,Pauri Garhwal,16,2,0
2025-03-11,Uttarakhand,Pithoragarh,18,1,2
2025-03-11,Uttarakhand,Rudraprayag,12,1,0
2025-03-11,Uttarakhand,Tehri Garhwal,30,4,0
2025-03-11,Uttarakhand,Udham Singh Nagar,27,9,1
2025-03-11,Uttarakhand,Uttarkashi,13,2,0
2025-03-11,West Bengal,Alipurduar,7,3,0
2025-03-11,West Bengal,Bankura,182,25,0
2025-03-11,West Bengal,Barddhaman,142,37,0
2025-03-11,West Bengal,Bardhaman,17,4,0
2025-03-11,West Bengal,Birbhum,128,16,0
2025-03-11,West Bengal,Cooch Behar,39,15,1
2025-03-11,West Bengal,Dakshin Dinajpur,40,8,0
2025-03-11,West Bengal,Darjeeling,20,15,0
2025-03-11,West Bengal,Darjiling,2,3,0
2025-03-11,West Bengal,East Midnapore,17,5,0
2025-03-11,West Bengal,Haora,22,11,0
2025-03-11,West Bengal,Hooghly,82,35,0
2025-03-11,West Bengal,Howrah,55,30,0
2025-03-11,West Bengal,Jalpaiguri,40,42,2
2025-03-11,West Bengal,Jhargram,6,5,0
2025-03-11,West Bengal,Kalimpong,3,3,0
2025-03-11,West Bengal,Koch Bihar,20,9,0
2025-03-11,West Bengal,Kolkata,47,49,3
2025-03-11,West Bengal,MALDA,1,0,0
2025-03-11,West Bengal,Malda,98,46,0
2025-03-11,West Bengal,Maldah,10,6,0
2025-03-11,West Bengal,Medinipur,2,0,0
2025-03-11,West Bengal,Murshidabad,359,43,0
2025-03-11,West Bengal,Nadia,83,37,0
2025-03-11,West Bengal,North 24 Parganas,175,51,2
2025-03-11,West Bengal,North Dinajpur,3,2,0
2025-03-11,West Bengal,North Twenty Four Parganas,8,5,0
2025-03-11,West Bengal,Paschim Bardhaman,5,2,1
2025-03-11,West Bengal,Paschim Medinipur,116,28,0
2025-03-11,West Bengal,Purba Bardhaman,31,10,0
2025-03-11,West Bengal,Purba Medinipur,100,9,0
2025-03-11,West Bengal,Purulia,3,0,0
2025-03-11,West Bengal,Puruliya,67,31,0
2025-03-11,West Bengal,South 24 Parganas,228,116,0
2025-03-11,West Bengal,South Dinajpur,2,3,0
2025-03-11,West Bengal,South Twenty Four Parganas,43,20,0
2025-03-11,West Bengal,Uttar Dinajpur,93,42,3
2025-03-11,West Bengal,West Midnapore,11,3,0
2025-04-09,Andaman & Nicobar Islands,Andamans,3,0,0
2025-04-09,Andaman & Nicobar Islands,South Andaman,2,0,0
2025-04-09,Andaman and Nicobar Islands,Nicobar,4,0,0
2025-04-09,Andaman and Nicobar Islands,North And Middle Andaman,3,0,0
2025-04-09,Andaman and Nicobar Islands,South Andaman,4,1,0
2025-04-09,Andhra Pradesh,Adilabad,30,3,0
2025-04-09,Andhra Pradesh,Alluri Sitharama Raju,10,1,0
2025-04-09,Andhra Pradesh,Anakapalli,7,0,0
2025-04-09,Andhra Pradesh,Anantapur,54,5,0
2025-04-09,Andhra Pradesh,Ananthapur,17,3,0
2025-04-09,Andhra Pradesh,Ananthapuramu,44,3,0
2025-04-09,Andhra Pradesh,Annamayya,17,0,5
2025-04-09,Andhra Pradesh,Bapatla,4,0,0
2025-04-09,Andhra Pradesh,Chittoor,101,8,0
2025-04-09,Andhra Pradesh,Cuddapah,86,4,0
2025-04-09,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,3,0,1
2025-04-09,Andhra Pradesh,East Godavari,102,12,0
2025-04-09,Andhra Pradesh,Eluru,9,0,0
2025-04-09,Andhra Pradesh,Guntur,102,17,0
2025-04-09,Andhra Pradesh,Hyderabad,64,20,0
2025-04-09,Andhra Pradesh,K.V.Rangareddy,1,0,0
2025-04-09,Andhra Pradesh,K.v. Rangareddy,1,0,0
2025-04-09,Andhra Pradesh,Kakinada,9,0,2
2025-04-09,Andhra Pradesh,Karim Nagar,2,1,0
2025-04-09,Andhra Pradesh,Karimnagar,15,4,0
2025-04-09,Andhra Pradesh,Khammam,21,9,0
2025-04-09,Andhra Pradesh,Krishna,99,6,0
2025-04-09,Andhra Pradesh,Kurnool,157,18,2
2025-04-09,Andhra Pradesh,Mahabub Nagar,25,10,0
2025-04-09,Andhra Pradesh,Mahbubnagar,16,7,0
2025-04-09,Andhra Pradesh,Medak,25,2,0
2025-04-09,Andhra Pradesh,N. T. R,12,2,1
2025-04-09,Andhra Pradesh,Nalgonda,22,6,0
2025-04-09,Andhra Pradesh,Nandyal,5,0,1
2025-04-09,Andhra Pradesh,Nellore,70,9,0
2025-04-09,Andhra Pradesh,Nizamabad,12,0,0
2025-04-09,Andhra Pradesh,Palnadu,8,2,0
2025-04-09,Andhra Pradesh,Parvathipuram Manyam,5,0,0
2025-04-09,Andhra Pradesh,Prakasam,95,22,3
2025-04-09,Andhra Pradesh,Rangareddi,33,8,0
2025-04-09,Andhra Pradesh,Sri Potti Sriramulu Nellore,11,18,5
2025-04-09,Andhra Pradesh,Sri Sathya Sai,12,0,0
2025-04-09,Andhra Pradesh,Srikakulam,51,0,1
2025-04-09,Andhra Pradesh,Tirupati,9,1,0
2025-04-09,Andhra Pradesh,Visakhapatnam,87,6,0
2025-04-09,Andhra Pradesh,Vizianagaram,51,3,0
2025-04-09,Andhra Pradesh,Warangal,27,5,0
2025-04-09,Andhra Pradesh,West Godavari,76,10,0
2025-04-09,Andhra Pradesh,Y. S. R,9,0,0
2025-04-09,Arunachal Pradesh,Changlang,30,13,0
2025-04-09,Arunachal Pradesh,East Kameng,10,4,0
2025-04-09,Arunachal Pradesh,East Siang,1,2,0
2025-04-09,Arunachal Pradesh,Kamle,2,5,0
2025-04-09,Arunachal Pradesh,Kra Daadi,2,1,0
2025-04-09,Arunachal Pradesh,Kurung Kumey,0,1,0
2025-04-09,Arunachal Pradesh,Lohit,1,0,0
2025-04-09,Arunachal Pradesh,Longding,0,10,0
2025-04-09,Arunachal Pradesh,Lower Dibang Valley,0,1,0
2025-04-09,Arunachal Pradesh,Lower Siang,0,3,0
2025-04-09,Arunachal Pradesh,Lower Subansiri,2,2,0
2025-04-09,Arunachal Pradesh,Namsai,0,1,0
2025-04-09,Arunachal Pradesh,Papum Pare,2,2,0
2025-04-09,Arunachal Pradesh,Siang,1,1,0
2025-04-09,Arunachal Pradesh,Tirap,1,0,0
2025-04-09,Arunachal Pradesh,West Kameng,2,4,0
2025-04-09,Arunachal Pradesh,West Siang,2,3,0
2025-04-09,Assam,Baksa,36,11,0
2025-04-09,Assam,Barpeta,171,50,0
2025-04-09,Assam,Biswanath,18,4,1
2025-04-09,Assam,Bongaigaon,30,5,0
2025-04-09,Assam,Cachar,110,47,0
2025-04-09,Assam,Charaideo,11,5,0
2025-04-09,Assam,Chirang,20,14,0
2025-04-09,Assam,Darrang,51,25,0
2025-04-09,Assam,Dhemaji,38,15,3
2025-04-09,Assam,Dhubri,141,40,0
2025-04-09,Assam,Dibrugarh,51,22,5
2025-04-09,Assam,Goalpara,129,24,5
2025-04-09,Assam,Golaghat,80,24,0
2025-04-09,Assam,Hailakandi,70,38,0
2025-04-09,Assam,Hojai,53,8,0
2025-04-09,Assam,Jorhat,33,17,0
2025-04-09,Assam,Kamrup,109,39,2
2025-04-09,Assam,Kamrup Metro,27,20,0
2025-04-09,Assam,Karbi Anglong,28,16,11
2025-04-09,Assam,Karimganj,185,65,0
2025-04-09,Assam,Kokrajhar,22,16,4
2025-04-09,Assam,Lakhimpur,52,30,0
2025-04-09,Assam,Majuli,11,4,0
2025-04-09,Assam,Marigaon,61,33,3
2025-04-09,Assam,Nagaon,176,59,0
2025-04-09,Assam,Nalbari,122,38,1
2025-04-09,Assam,North Cachar Hills,8,5,0
2025-04-09,Assam,Sibsagar,28,11,1
2025-04-09,Assam,Sonitpur,69,41,0
2025-04-09,Assam,South Salmara Mankachar,16,8,0
2025-04-09,Assam,Sribhumi,1,2,0
2025-04-09,Assam,Tamulpur District,1,0,0
2025-04-09,Assam,Tinsukia,48,33,2
2025-04-09,Assam,Udalguri,42,15,0
2025-04-09,Assam,West Karbi Anglong,0,6,3
2025-04-09,Bihar,Araria,104,67,0
2025-04-09,Bihar,Arwal,11,47,0
2025-04-09,Bihar,Aurangabad,21,102,0
2025-04-09,Bihar,Aurangabad(bh),2,0,0
2025-04-09,Bihar,Banka,35,45,1
2025-04-09,Bihar,Begusarai,112,63,0
2025-04-09,Bihar,Bhabua,1,0,0
2025-04-09,Bihar,Bhagalpur,73,75,1
2025-04-09,Bihar,Bhojpur,31,113,2
2025-04-09,Bihar,Buxar,18,78,0
2025-04-09,Bihar,Darbhanga,136,116,0
2025-04-09,Bihar,East Champaran,125,203,10
2025-04-09,Bihar,Gaya,48,175,0
2025-04-09,Bihar,Gopalganj,53,82,0
2025-04-09,Bihar,Jamui,33,43,0
2025-04-09,Bihar,Jehanabad,8,22,0
2025-04-09,Bihar,Kaimur (Bhabua),55,74,0
2025-04-09,Bihar,Katihar,130,56,0
2025-04-09,Bihar,Khagaria,59,61,1
2025-04-09,Bihar,Kishanganj,89,43,0
2025-04-09,Bihar,Lakhisarai,24,17,0
2025-04-09,Bihar,Madhepura,71,118,1
2025-04-09,Bihar,Madhubani,117,117,3
2025-04-09,Bihar,Munger,23,43,0
2025-04-09,Bihar,Muzaffarpur,128,120,1
2025-04-09,Bihar,Nalanda,28,96,2
2025-04-09,Bihar,Nawada,33,189,0
2025-04-09,Bihar,Pashchim Champaran,2,1,0
2025-04-09,Bihar,Patna,77,207,1
2025-04-09,Bihar,Purba Champaran,5,5,0
2025-04-09,Bihar,Purnea,1,3,0
2025-04-09,Bihar,Purnia,120,80,0
2025-04-09,Bihar,Rohtas,32,83,1
2025-04-09,Bihar,Saharsa,79,75,2
2025-04-09,Bihar,Samastipur,130,91,3
2025-04-09,Bihar,Samstipur,0,3,0
2025-04-09,Bihar,Saran,80,168,2
2025-04-09,Bihar,Sheikhpura,13,28,1
2025-04-09,Bihar,Sheikpura,0,1,0
2025-04-09,Bihar,Sheohar,18,3,0
2025-04-09,Bihar,Sitamarhi,82,96,6
2025-04-09,Bihar,Siwan,67,152,1
2025-04-09,Bihar,Supaul,46,36,0
2025-04-09,Bihar,Vaishali,101,133,0
2025-04-09,Bihar,West Champaran,105,218,4
2025-04-09,Chandigarh,Chandigarh,29,4,1
2025-04-09,Chhattisgarh,Balod,13,0,0
2025-04-09,Chhattisgarh,Baloda Bazar,37,5,0
2025-04-09,Chhattisgarh,Balrampur,45,10,0
2025-04-09,Chhattisgarh,Bastar,26,17,0
2025-04-09,Chhattisgarh,Bemetara,25,3,0
2025-04-09,Chhattisgarh,Bijapur,12,14,9
2025-04-09,Chhattisgarh,Bilaspur,87,23,0
2025-04-09,Chhattisgarh,Dakshin Bastar Dantewada,5,4,0
2025-04-09,Chhattisgarh,Dantewada,1,4,0
2025-04-09,Chhattisgarh,Dhamtari,13,1,0
2025-04-09,Chhattisgarh,Durg,28,2,5
2025-04-09,Chhattisgarh,Gariyaband,22,4,0
2025-04-09,Chhattisgarh,Gaurela-pendra-marwahi,0,1,0
2025-04-09,Chhattisgarh,Janjgir - Champa,1,0,0
2025-04-09,Chhattisgarh,Janjgir-champa,48,12,0
2025-04-09,Chhattisgarh,Jashpur,3,1,0
2025-04-09,Chhattisgarh,Kabeerdham,12,1,0
2025-04-09,Chhattisgarh,Kanker,28,7,0
2025-04-09,Chhattisgarh,Kawardha,20,6,0
2025-04-09,Chhattisgarh,Khairagarh Chhuikhadan Gandai,0,1,0
2025-04-09,Chhattisgarh,Kondagaon,36,12,0
2025-04-09,Chhattisgarh,Korba,19,2,0
2025-04-09,Chhattisgarh,Koriya,2,4,0
2025-04-09,Chhattisgarh,Mahasamund,42,8,1
2025-04-09,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,1,1,1
2025-04-09,Chhattisgarh,Mungeli,21,2,0
2025-04-09,Chhattisgarh,Narayanpur,4,1,0
2025-04-09,Chhattisgarh,Raigarh,34,5,0
2025-04-09,Chhattisgarh,Raipur,89,10,0
2025-04-09,Chhattisgarh,Rajnandgaon,55,6,0
2025-04-09,Chhattisgarh,Sakti,6,4,0
2025-04-09,Chhattisgarh,Sukma,6,3,0
2025-04-09,Chhattisgarh,Surajpur,14,1,0
2025-04-09,Chhattisgarh,Surguja,26,7,0
2025-04-09,Chhattisgarh,Uttar Bastar Kanker,10,0,0
2025-04-09,Dadra and Nagar Haveli,Dadra and Nagar Haveli,6,1,0
2025-04-09,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1,2,0
2025-04-09,Daman & Diu,Daman,1,0,0
2025-04-09,Delhi,Central Delhi,19,6,0
2025-04-09,Delhi,East Delhi,87,16,0
2025-04-09,Delhi,New Delhi,1,0,0
