date,state,district,bio_age_5_17,bio_age_17_plus
2025-01-04,Nagaland,Phek,203,1448
2025-01-04,Nagaland,Tuensang,299,863
2025-01-04,Nagaland,Wokha,327,737
2025-01-04,Nagaland,Zunheboto,207,1125
2025-01-04,Odisha,ANUGUL,18,41
2025-01-04,Odisha,Angul,2839,3957
2025-01-04,Odisha,Anugul,13,35
2025-01-04,Odisha,Balangir,5535,5272
2025-01-04,Odisha,Baleshwar,801,1777
2025-01-04,Odisha,Baleswar,6590,6189
2025-01-04,Odisha,Bargarh,3598,4411
2025-01-04,Odisha,Baudh,118,598
2025-01-04,Odisha,Bhadrak,5610,5748
2025-01-04,Odisha,Boudh,1416,1699
2025-01-04,Odisha,Cuttack,6142,9392
2025-01-04,Odisha,Debagarh,796,1078
2025-01-04,Odisha,Dhenkanal,4643,5558
2025-01-04,Odisha,Gajapati,3016,4447
2025-01-04,Odisha,Ganjam,10175,11122
2025-01-04,Odisha,JAJPUR,1983,2577
2025-01-04,Odisha,Jagatsinghapur,2229,2932
2025-01-04,Odisha,Jagatsinghpur,242,764
2025-01-04,Odisha,Jajapur,3271,3817
2025-01-04,Odisha,Jharsuguda,1438,1318
2025-01-04,Odisha,Kalahandi,4833,7521
2025-01-04,Odisha,Kandhamal,3192,4343
2025-01-04,Odisha,Kendrapara,4163,5515
2025-01-04,Odisha,Kendujhar,5511,7609
2025-01-04,Odisha,Khorda,5312,6895
2025-01-04,Odisha,Khordha,149,731
2025-01-04,Odisha,Koraput,5194,6634
2025-01-04,Odisha,Malkangiri,3623,2296
2025-01-04,Odisha,Mayurbhanj,9393,11771
2025-01-04,Odisha,Nabarangapur,6437,6560
2025-01-04,Odisha,Nayagarh,3245,4043
2025-01-04,Odisha,Nuapada,2102,2868
2025-01-04,Odisha,Puri,4151,4531
2025-01-04,Odisha,Rayagada,3094,3695
2025-01-04,Odisha,Sambalpur,2769,2899
2025-01-04,Odisha,Sonapur,1654,1418
2025-01-04,Odisha,Subarnapur,182,602
2025-01-04,Odisha,Sundargarh,352,1264
2025-01-04,Odisha,Sundergarh,5152,5954
2025-01-04,Orissa,Balangir,332,1044
2025-01-04,Orissa,Baleshwar,92,220
2025-01-04,Orissa,Bargarh,25,86
2025-01-04,Orissa,Bhadrak,175,475
2025-01-04,Orissa,Cuttack,85,513
2025-01-04,Orissa,Dhenkanal,94,209
2025-01-04,Orissa,Ganjam,170,497
2025-01-04,Orissa,Jajapur,18,53
2025-01-04,Orissa,Khordha,280,1677
2025-01-04,Orissa,Koraput,11,82
2025-01-04,Orissa,Nayagarh,20,71
2025-01-04,Orissa,Puri,105,281
2025-01-04,Orissa,Rayagada,22,149
2025-01-04,Pondicherry,Pondicherry,345,1681
2025-01-04,Puducherry,Karaikal,378,883
2025-01-04,Puducherry,Puducherry,1024,1331
2025-01-04,Punjab,Amritsar,7813,13981
2025-01-04,Punjab,Barnala,1343,2420
2025-01-04,Punjab,Bathinda,4293,6306
2025-01-04,Punjab,Faridkot,1680,3210
2025-01-04,Punjab,Fatehgarh Sahib,1514,2354
2025-01-04,Punjab,Fazilka,3153,3766
2025-01-04,Punjab,Ferozepur,2647,4108
2025-01-04,Punjab,Firozpur,168,1095
2025-01-04,Punjab,Gurdaspur,5242,10128
2025-01-04,Punjab,Hoshiarpur,3760,7474
2025-01-04,Punjab,Jalandhar,6195,12489
2025-01-04,Punjab,Kapurthala,2429,4988
2025-01-04,Punjab,Ludhiana,10346,14080
2025-01-04,Punjab,Malerkotla,510,898
2025-01-04,Punjab,Mansa,2145,4522
2025-01-04,Punjab,Moga,2910,4820
2025-01-04,Punjab,Muktsar,98,1017
2025-01-04,Punjab,Pathankot,1282,1396
2025-01-04,Punjab,Patiala,5447,7618
2025-01-04,Punjab,Rupnagar,1817,3457
2025-01-04,Punjab,S.A.S Nagar(Mohali),12,110
2025-01-04,Punjab,SAS Nagar (Mohali),3205,3199
2025-01-04,Punjab,Sangrur,3395,5402
2025-01-04,Punjab,Shaheed Bhagat Singh Nagar,1309,2030
2025-01-04,Punjab,Sri Muktsar Sahib,3322,4082
2025-01-04,Punjab,Tarn Taran,3566,8012
2025-01-04,Rajasthan,Ajmer,5509,7665
2025-01-04,Rajasthan,Alwar,8463,11534
2025-01-04,Rajasthan,Banswara,2510,5348
2025-01-04,Rajasthan,Baran,2478,3937
2025-01-04,Rajasthan,Barmer,7900,9457
2025-01-04,Rajasthan,Bharatpur,4285,7395
2025-01-04,Rajasthan,Bhilwara,3632,4556
2025-01-04,Rajasthan,Bikaner,5120,8366
2025-01-04,Rajasthan,Bundi,2098,3150
2025-01-04,Rajasthan,Chittaurgarh,24,98
2025-01-04,Rajasthan,Chittorgarh,2053,2591
2025-01-04,Rajasthan,Churu,5149,7988
2025-01-04,Rajasthan,Dausa,4090,5974
2025-01-04,Rajasthan,Dholpur,2831,3372
2025-01-04,Rajasthan,Dungarpur,3240,4628
2025-01-04,Rajasthan,Ganganagar,3475,6919
2025-01-04,Rajasthan,Hanumangarh,3571,6728
2025-01-04,Rajasthan,Jaipur,14715,25717
2025-01-04,Rajasthan,Jaisalmer,1898,2533
2025-01-04,Rajasthan,Jalor,3173,5924
2025-01-04,Rajasthan,Jhalawar,2269,3399
2025-01-04,Rajasthan,Jhunjhunu,16,74
2025-01-04,Rajasthan,Jhunjhunun,3967,7713
2025-01-04,Rajasthan,Jodhpur,9733,14493
2025-01-04,Rajasthan,Karauli,3217,3723
2025-01-04,Rajasthan,Kota,3659,5336
2025-01-04,Rajasthan,Nagaur,7553,12226
2025-01-04,Rajasthan,Pali,4499,10300
2025-01-04,Rajasthan,Pratapgarh,2157,2643
2025-01-04,Rajasthan,Rajsamand,2255,2788
2025-01-04,Rajasthan,Sawai Madhopur,3236,4585
2025-01-04,Rajasthan,Sikar,6351,10971
2025-01-04,Rajasthan,Sirohi,2265,4482
2025-01-04,Rajasthan,Tonk,2727,4386
2025-01-04,Rajasthan,Udaipur,6038,9759
2025-01-04,Sikkim,East,398,566
2025-01-04,Sikkim,East Sikkim,365,251
2025-01-04,Sikkim,North,17,29
2025-01-04,Sikkim,North Sikkim,84,45
2025-01-04,Sikkim,South,242,413
2025-01-04,Sikkim,South Sikkim,272,131
2025-01-04,Sikkim,West,403,472
2025-01-04,Sikkim,West Sikkim,647,201
2025-01-04,Tamil Nadu,Ariyalur,3068,5860
2025-01-04,Tamil Nadu,Chengalpattu,219,233
2025-01-04,Tamil Nadu,Chennai,8877,14753
2025-01-04,Tamil Nadu,Coimbatore,8351,16329
2025-01-04,Tamil Nadu,Cuddalore,10089,7240
2025-01-04,Tamil Nadu,Dharmapuri,6424,3854
2025-01-04,Tamil Nadu,Dindigul,7240,14614
2025-01-04,Tamil Nadu,Erode,4766,8601
2025-01-04,Tamil Nadu,Kallakurichi,177,199
2025-01-04,Tamil Nadu,Kancheepuram,11633,12146
2025-01-04,Tamil Nadu,Kanniyakumari,1340,3932
2025-01-04,Tamil Nadu,Kanyakumari,1101,771
2025-01-04,Tamil Nadu,Karur,2641,3485
2025-01-04,Tamil Nadu,Krishnagiri,6026,5057
2025-01-04,Tamil Nadu,Madurai,10401,14583
2025-01-04,Tamil Nadu,Mayiladuthurai,115,40
2025-01-04,Tamil Nadu,Nagapattinam,3581,4310
2025-01-04,Tamil Nadu,Namakkal,4064,8575
2025-01-04,Tamil Nadu,Perambalur,2764,2005
2025-01-04,Tamil Nadu,Pudukkottai,4948,8469
2025-01-04,Tamil Nadu,Ramanathapuram,4549,5803
2025-01-04,Tamil Nadu,Ranipet,10,20
2025-01-04,Tamil Nadu,Salem,15497,14213
2025-01-04,Tamil Nadu,Sivaganga,3938,5528
2025-01-04,Tamil Nadu,Tenkasi,315,229
2025-01-04,Tamil Nadu,Thanjavur,6846,11788
2025-01-04,Tamil Nadu,The Nilgiris,1620,2142
2025-01-04,Tamil Nadu,Theni,3995,5944
2025-01-04,Tamil Nadu,Thiruvallur,38,60
2025-01-04,Tamil Nadu,Thiruvarur,3035,3416
2025-01-04,Tamil Nadu,Thoothukkudi,6772,8906
2025-01-04,Tamil Nadu,Tiruchirappalli,6150,14884
2025-01-04,Tamil Nadu,Tirunelveli,8135,13913
2025-01-04,Tamil Nadu,Tirupattur,904,440
2025-01-04,Tamil Nadu,Tiruppur,6905,8795
2025-01-04,Tamil Nadu,Tiruvallur,9932,13307
2025-01-04,Tamil Nadu,Tiruvannamalai,10684,6104
2025-01-04,Tamil Nadu,Vellore,11254,10058
2025-01-04,Tamil Nadu,Villupuram,8353,3586
2025-01-04,Tamil Nadu,Viluppuram,2834,5845
2025-01-04,Tamil Nadu,Virudhunagar,5189,6673
2025-01-04,Telangana,Adilabad,2571,3246
2025-01-04,Telangana,Bhadradri Kothagudem,436,765
2025-01-04,Telangana,Hanumakonda,205,841
2025-01-04,Telangana,Hyderabad,9730,11312
2025-01-04,Telangana,Jagitial,328,434
2025-01-04,Telangana,Jangoan,135,274
2025-01-04,Telangana,Jayashankar Bhupalpally,115,183
2025-01-04,Telangana,Jogulamba Gadwal,427,545
2025-01-04,Telangana,K.v. Rangareddy,9527,13014
2025-01-04,Telangana,Kamareddy,397,584
2025-01-04,Telangana,Karimnagar,5453,6566
2025-01-04,Telangana,Khammam,2238,1720
2025-01-04,Telangana,Komaram Bheem,313,496
2025-01-04,Telangana,Mahabubabad,285,476
2025-01-04,Telangana,Mahabubnagar,8084,9148
2025-01-04,Telangana,Mancherial,322,543
2025-01-04,Telangana,Medak,4542,4890
2025-01-04,Telangana,Medchal-malkajgiri,1109,1772
2025-01-04,Telangana,Mulugu,148,257
2025-01-04,Telangana,Nagarkurnool,372,550
2025-01-04,Telangana,Nalgonda,5769,5451
2025-01-04,Telangana,Narayanpet,190,257
2025-01-04,Telangana,Nirmal,263,423
2025-01-04,Telangana,Nizamabad,4441,4610
2025-01-04,Telangana,Peddapalli,89,267
2025-01-04,Telangana,Rajanna Sircilla,212,301
2025-01-04,Telangana,Rangareddy,93,260
2025-01-04,Telangana,Sangareddy,687,762
2025-01-04,Telangana,Siddipet,315,476
2025-01-04,Telangana,Suryapet,513,886
2025-01-04,Telangana,Vikarabad,409,500
2025-01-04,Telangana,Wanaparthy,323,517
2025-01-04,Telangana,Warangal,3905,3728
2025-01-04,Telangana,Warangal Rural,190,328
2025-01-04,Telangana,Warangal Urban,278,416
2025-01-04,Telangana,Yadadri.,320,628
2025-01-04,Tripura,Dhalai,4161,2012
2025-01-04,Tripura,Dhalai  *,41,90
2025-01-04,Tripura,Gomati,2197,399
2025-01-04,Tripura,Khowai,1226,266
2025-01-04,Tripura,North Tripura,3373,3177
2025-01-04,Tripura,Sepahijala,2527,838
2025-01-04,Tripura,South Tripura,4189,4698
2025-01-04,Tripura,Unakoti,3375,495
2025-01-04,Tripura,West Tripura,6514,8037
2025-01-04,Uttar Pradesh,Agra,23587,9962
2025-01-04,Uttar Pradesh,Aligarh,21555,5911
2025-01-04,Uttar Pradesh,Allahabad,27810,9107
2025-01-04,Uttar Pradesh,Ambedkar Nagar,5206,4034
2025-01-04,Uttar Pradesh,Amethi,6276,4187
2025-01-04,Uttar Pradesh,Amroha,10891,2508
2025-01-04,Uttar Pradesh,Auraiya,4730,2327
2025-01-04,Uttar Pradesh,Ayodhya,384,528
2025-01-04,Uttar Pradesh,Azamgarh,13049,8716
2025-01-04,Uttar Pradesh,Baghpat,4693,2074
2025-01-04,Uttar Pradesh,Bahraich,17959,7506
2025-01-04,Uttar Pradesh,Ballia,7919,6870
2025-01-04,Uttar Pradesh,Balrampur,8333,3721
2025-01-04,Uttar Pradesh,Banda,6605,4537
2025-01-04,Uttar Pradesh,Bara Banki,14422,6093
2025-01-04,Uttar Pradesh,Barabanki,74,295
2025-01-04,Uttar Pradesh,Bareilly,22874,8000
2025-01-04,Uttar Pradesh,Basti,10172,4692
2025-01-04,Uttar Pradesh,Bhadohi,519,396
2025-01-04,Uttar Pradesh,Bijnor,17712,8228
2025-01-04,Uttar Pradesh,Budaun,8910,3583
2025-01-04,Uttar Pradesh,Bulandshahr,18815,5197
2025-01-04,Uttar Pradesh,Chandauli,9704,3295
2025-01-04,Uttar Pradesh,Chitrakoot,6112,2612
2025-01-04,Uttar Pradesh,Deoria,11809,7245
2025-01-04,Uttar Pradesh,Etah,13484,2531
2025-01-04,Uttar Pradesh,Etawah,7384,3127
2025-01-04,Uttar Pradesh,Faizabad,8834,3119
2025-01-04,Uttar Pradesh,Farrukhabad,7045,2139
2025-01-04,Uttar Pradesh,Fatehpur,8256,6378
2025-01-04,Uttar Pradesh,Firozabad,15017,3352
2025-01-04,Uttar Pradesh,Gautam Buddha Nagar,7021,5188
2025-01-04,Uttar Pradesh,Ghaziabad,14642,10837
2025-01-04,Uttar Pradesh,Ghazipur,15205,6326
2025-01-04,Uttar Pradesh,Gonda,14460,6876
2025-01-04,Uttar Pradesh,Gorakhpur,9404,12727
2025-01-04,Uttar Pradesh,Hamirpur,3275,2180
2025-01-04,Uttar Pradesh,Hapur,4513,1909
2025-01-04,Uttar Pradesh,Hardoi,22209,6727
2025-01-04,Uttar Pradesh,Hathras,9198,2227
2025-01-04,Uttar Pradesh,Jalaun,6056,3593
2025-01-04,Uttar Pradesh,Jaunpur,12071,7906
2025-01-04,Uttar Pradesh,Jhansi,8508,5297
2025-01-04,Uttar Pradesh,Kannauj,6803,2814
2025-01-04,Uttar Pradesh,Kanpur Dehat,7829,2343
2025-01-04,Uttar Pradesh,Kanpur Nagar,12059,11042
2025-01-04,Uttar Pradesh,Kasganj,6901,2382
2025-01-04,Uttar Pradesh,Kaushambi,12911,2180
2025-01-04,Uttar Pradesh,Kheri,14683,6033
2025-01-04,Uttar Pradesh,Kushinagar,9515,8053
2025-01-04,Uttar Pradesh,Lalitpur,4531,3627
2025-01-04,Uttar Pradesh,Lucknow,17408,12249
2025-01-04,Uttar Pradesh,Maharajganj,6533,5487
2025-01-04,Uttar Pradesh,Mahoba,3350,1489
2025-01-04,Uttar Pradesh,Mainpuri,4338,2680
2025-01-04,Uttar Pradesh,Mathura,10819,4179
2025-01-04,Uttar Pradesh,Mau,6021,3902
2025-01-04,Uttar Pradesh,Meerut,15088,7492
2025-01-04,Uttar Pradesh,Mirzapur,10945,3802
2025-01-04,Uttar Pradesh,Moradabad,16586,6986
2025-01-04,Uttar Pradesh,Muzaffarnagar,16529,6262
2025-01-04,Uttar Pradesh,Pilibhit,13228,5607
2025-01-04,Uttar Pradesh,Pratapgarh,12069,6772
2025-01-04,Uttar Pradesh,Prayagraj,1456,1346
2025-01-04,Uttar Pradesh,Rae Bareli,12145,4968
2025-01-04,Uttar Pradesh,Rampur,15673,4784
2025-01-04,Uttar Pradesh,Saharanpur,13478,9252
2025-01-04,Uttar Pradesh,Sambhal,11719,2554
2025-01-04,Uttar Pradesh,Sant Kabir Nagar,8755,4623
2025-01-04,Uttar Pradesh,Sant Ravidas Nagar,6080,2484
2025-01-04,Uttar Pradesh,Shahjahanpur,12877,4666
2025-01-04,Uttar Pradesh,Shamli,11142,4003
2025-01-04,Uttar Pradesh,Shrawasti,5028,2599
2025-01-04,Uttar Pradesh,Siddharthnagar,9075,4516
2025-01-04,Uttar Pradesh,Sitapur,32178,9065
2025-01-04,Uttar Pradesh,Sonbhadra,10745,4237
2025-01-04,Uttar Pradesh,Sultanpur,6820,4691
2025-01-04,Uttar Pradesh,Unnao,13248,6435
2025-01-04,Uttar Pradesh,Varanasi,13733,8781
2025-01-04,Uttarakhand,Almora,1878,1873
2025-01-04,Uttarakhand,Bageshwar,827,1777
2025-01-04,Uttarakhand,Chamoli,1412,2205
2025-01-04,Uttarakhand,Champawat,1196,1572
2025-01-04,Uttarakhand,Dehradun,5431,7762
2025-01-04,Uttarakhand,Haridwar,5234,5015
2025-01-04,Uttarakhand,Nainital,3441,3584
2025-01-04,Uttarakhand,Pauri Garhwal,1627,2119
2025-01-04,Uttarakhand,Pithoragarh,1420,2052
2025-01-04,Uttarakhand,Rudraprayag,992,1472
2025-01-04,Uttarakhand,Tehri Garhwal,2488,3241
2025-01-04,Uttarakhand,Udham Singh Nagar,5961,5460
2025-01-04,Uttarakhand,Uttarkashi,1574,1859
2025-01-04,West Bengal,Alipurduar,372,419
2025-01-04,West Bengal,Bankura,4324,4960
2025-01-04,West Bengal,Barddhaman,7253,10110
2025-01-04,West Bengal,Bardhaman,182,568
2025-01-04,West Bengal,Birbhum,3729,5232
2025-01-04,West Bengal,Cooch Behar,2096,3125
2025-01-04,West Bengal,Dakshin Dinajpur,3066,2385
2025-01-04,West Bengal,Darjeeling,1465,3099
2025-01-04,West Bengal,Darjiling,64,181
2025-01-04,West Bengal,East Midnapore,716,1296
2025-01-04,West Bengal,Haora,436,2286
2025-01-04,West Bengal,Hooghly,6712,10261
2025-01-04,West Bengal,Howrah,3829,7347
2025-01-04,West Bengal,Jalpaiguri,3315,5838
2025-01-04,West Bengal,Jhargram,135,279
2025-01-04,West Bengal,Kalimpong,31,19
2025-01-04,West Bengal,Koch Bihar,244,840
2025-01-04,West Bengal,Kolkata,2609,7951
2025-01-04,West Bengal,Malda,3440,5957
2025-01-04,West Bengal,Maldah,242,797
2025-01-04,West Bengal,Murshidabad,8022,13859
2025-01-04,West Bengal,Nadia,4993,9147
2025-01-04,West Bengal,North 24 Parganas,8743,14168
2025-01-04,West Bengal,North Twenty Four Parganas,199,862
2025-01-04,West Bengal,Paschim Bardhaman,389,960
2025-01-04,West Bengal,Paschim Medinipur,5583,7121
2025-01-04,West Bengal,Purba Bardhaman,504,1058
2025-01-04,West Bengal,Purba Medinipur,5448,6811
2025-01-04,West Bengal,Purulia,90,230
2025-01-04,West Bengal,Puruliya,3543,5406
2025-01-04,West Bengal,South 24 Parganas,10237,12473
2025-01-04,West Bengal,South Dinajpur,45,100
2025-01-04,West Bengal,South Twenty Four Parganas,617,2024
2025-01-04,West Bengal,Uttar Dinajpur,3513,5780
2025-01-04,West Bengal,West Midnapore,327,970
2025-01-05,Andaman & Nicobar Islands,Andamans,22,158
2025-01-05,Andaman and Nicobar Islands,Nicobar,34,50
2025-01-05,Andaman and Nicobar Islands,North And Middle Andaman,272,250
2025-01-05,Andaman and Nicobar Islands,South Andaman,654,455
2025-01-05,Andhra Pradesh,Adilabad,961,2457
2025-01-05,Andhra Pradesh,Alluri Sitharama Raju,1125,964
2025-01-05,Andhra Pradesh,Anakapalli,565,480
2025-01-05,Andhra Pradesh,Anantapur,5334,6348
2025-01-05,Andhra Pradesh,Ananthapur,10603,2055
2025-01-05,Andhra Pradesh,Ananthapuramu,16807,2592
2025-01-05,Andhra Pradesh,Annamayya,1317,595
2025-01-05,Andhra Pradesh,Bapatla,508,303
2025-01-05,Andhra Pradesh,Chittoor,25633,9255
2025-01-05,Andhra Pradesh,Cuddapah,18656,5900
2025-01-05,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,615,414
2025-01-05,Andhra Pradesh,East Godavari,29904,11079
2025-01-05,Andhra Pradesh,Eluru,801,734
2025-01-05,Andhra Pradesh,Guntur,28530,12010
2025-01-05,Andhra Pradesh,Hyderabad,2418,8605
2025-01-05,Andhra Pradesh,Kakinada,1272,742
2025-01-05,Andhra Pradesh,Karim Nagar,40,116
2025-01-05,Andhra Pradesh,Karimnagar,426,1049
2025-01-05,Andhra Pradesh,Khammam,1378,2496
2025-01-05,Andhra Pradesh,Krishna,20478,9521
2025-01-05,Andhra Pradesh,Kurnool,38609,11871
2025-01-05,Andhra Pradesh,Mahabub Nagar,37,79
2025-01-05,Andhra Pradesh,Mahbubnagar,244,696
2025-01-05,Andhra Pradesh,Medak,393,979
2025-01-05,Andhra Pradesh,N. T. R,1040,991
2025-01-05,Andhra Pradesh,Nalgonda,459,1883
2025-01-05,Andhra Pradesh,Nandyal,1107,649
2025-01-05,Andhra Pradesh,Nellore,17287,6800
2025-01-05,Andhra Pradesh,Nizamabad,298,675
2025-01-05,Andhra Pradesh,Palnadu,1259,700
2025-01-05,Andhra Pradesh,Parvathipuram Manyam,1014,786
2025-01-05,Andhra Pradesh,Prakasam,24657,8625
2025-01-05,Andhra Pradesh,Rangareddi,1276,4011
2025-01-05,Andhra Pradesh,Sri Potti Sriramulu Nellore,1371,603
2025-01-05,Andhra Pradesh,Sri Sathya Sai,1043,738
2025-01-05,Andhra Pradesh,Srikakulam,15311,7444
2025-01-05,Andhra Pradesh,Tirupati,1071,828
2025-01-05,Andhra Pradesh,Visakhapatnam,28998,13737
2025-01-05,Andhra Pradesh,Vizianagaram,15557,6376
2025-01-05,Andhra Pradesh,Warangal,1438,3458
2025-01-05,Andhra Pradesh,West Godavari,19992,9925
2025-01-05,Andhra Pradesh,Y. S. R,811,448
2025-01-05,Arunachal Pradesh,Anjaw,89,101
2025-01-05,Arunachal Pradesh,Changlang,381,268
2025-01-05,Arunachal Pradesh,Dibang Valley,33,25
2025-01-05,Arunachal Pradesh,East Kameng,306,228
2025-01-05,Arunachal Pradesh,East Siang,165,93
2025-01-05,Arunachal Pradesh,Kra Daadi,118,80
2025-01-05,Arunachal Pradesh,Kurung Kumey,128,328
2025-01-05,Arunachal Pradesh,Lohit,173,281
2025-01-05,Arunachal Pradesh,Longding,196,124
2025-01-05,Arunachal Pradesh,Lower Dibang Valley,121,112
2025-01-05,Arunachal Pradesh,Lower Siang,12,10
2025-01-05,Arunachal Pradesh,Lower Subansiri,155,196
2025-01-05,Arunachal Pradesh,Namsai,423,413
2025-01-05,Arunachal Pradesh,Papum Pare,496,687
2025-01-05,Arunachal Pradesh,Shi-yomi,26,14
2025-01-05,Arunachal Pradesh,Siang,100,64
2025-01-05,Arunachal Pradesh,Tawang,149,78
2025-01-05,Arunachal Pradesh,Tirap,120,69
2025-01-05,Arunachal Pradesh,Upper Siang,116,105
2025-01-05,Arunachal Pradesh,Upper Subansiri,271,288
2025-01-05,Arunachal Pradesh,West Kameng,243,438
2025-01-05,Arunachal Pradesh,West Siang,300,182
2025-01-05,Assam,Baksa,1398,596
2025-01-05,Assam,Barpeta,7973,2201
2025-01-05,Assam,Biswanath,720,316
2025-01-05,Assam,Bongaigaon,2359,946
2025-01-05,Assam,Cachar,4128,2066
2025-01-05,Assam,Charaideo,384,209
2025-01-05,Assam,Chirang,1240,685
2025-01-05,Assam,Darrang,1534,785
2025-01-05,Assam,Dhemaji,1031,682
2025-01-05,Assam,Dhubri,2715,1222
2025-01-05,Assam,Dibrugarh,1337,1609
2025-01-05,Assam,Goalpara,1264,658
2025-01-05,Assam,Golaghat,808,785
2025-01-05,Assam,Hailakandi,650,464
2025-01-05,Assam,Hojai,1005,1076
2025-01-05,Assam,Jorhat,712,555
2025-01-05,Assam,Kamrup,3553,1175
2025-01-05,Assam,Kamrup Metro,1697,1412
2025-01-05,Assam,Karbi Anglong,2525,968
2025-01-05,Assam,Karimganj,1373,809
2025-01-05,Assam,Kokrajhar,1955,950
2025-01-05,Assam,Lakhimpur,1517,969
2025-01-05,Assam,Majuli,296,115
2025-01-05,Assam,Marigaon,1477,923
2025-01-05,Assam,Nagaon,3311,4916
2025-01-05,Assam,Nalbari,669,421
2025-01-05,Assam,North Cachar Hills,209,119
2025-01-05,Assam,Sibsagar,612,329
2025-01-05,Assam,Sonitpur,1779,1243
2025-01-05,Assam,South Salmara Mankachar,131,83
2025-01-05,Assam,Tinsukia,1118,830
2025-01-05,Assam,Udalguri,1317,748
2025-01-05,Assam,West Karbi Anglong,66,113
2025-01-05,Bihar,Araria,8591,8598
2025-01-05,Bihar,Arwal,1452,1735
2025-01-05,Bihar,Aurangabad,5482,4879
2025-01-05,Bihar,Banka,7652,5755
2025-01-05,Bihar,Begusarai,8772,7663
2025-01-05,Bihar,Bhagalpur,8529,7339
2025-01-05,Bihar,Bhojpur,4727,5240
2025-01-05,Bihar,Buxar,3077,3175
2025-01-05,Bihar,Darbhanga,12847,11457
2025-01-05,Bihar,East Champaran,12700,10844
2025-01-05,Bihar,Gaya,10806,8820
2025-01-05,Bihar,Gopalganj,6673,6360
2025-01-05,Bihar,Jamui,5842,3547
2025-01-05,Bihar,Jehanabad,1865,1881
2025-01-05,Bihar,Kaimur (Bhabua),4375,3917
2025-01-05,Bihar,Katihar,11024,11144
2025-01-05,Bihar,Khagaria,4203,4085
2025-01-05,Bihar,Kishanganj,6382,8117
2025-01-05,Bihar,Lakhisarai,2807,2654
2025-01-05,Bihar,Madhepura,7859,5953
2025-01-05,Bihar,Madhubani,16018,14123
2025-01-05,Bihar,Munger,2651,2836
2025-01-05,Bihar,Muzaffarpur,12578,12122
2025-01-05,Bihar,Nalanda,6448,6644
2025-01-05,Bihar,Nawada,4894,4112
2025-01-05,Bihar,Patna,13057,12157
2025-01-05,Bihar,Purnea,127,385
2025-01-05,Bihar,Purnia,11549,12253
2025-01-05,Bihar,Rohtas,5855,6101
2025-01-05,Bihar,Saharsa,5638,7734
2025-01-05,Bihar,Samastipur,11934,11062
2025-01-05,Bihar,Saran,8390,8257
2025-01-05,Bihar,Sheikhpura,1828,2215
2025-01-05,Bihar,Sheohar,1621,2038
2025-01-05,Bihar,Sitamarhi,11734,9727
2025-01-05,Bihar,Siwan,7028,7021
2025-01-05,Bihar,Supaul,6550,7043
2025-01-05,Bihar,Vaishali,10356,10497
2025-01-05,Bihar,West Champaran,9994,8794
2025-01-05,Chandigarh,Chandigarh,3424,3142
2025-01-05,Chhattisgarh,Balod,1759,7096
2025-01-05,Chhattisgarh,Baloda Bazar,3113,13104
2025-01-05,Chhattisgarh,Balrampur,1018,3547
2025-01-05,Chhattisgarh,Bastar,1610,7715
2025-01-05,Chhattisgarh,Bemetara,2455,13382
2025-01-05,Chhattisgarh,Bijapur,1013,1573
2025-01-05,Chhattisgarh,Bilaspur,3368,16548
2025-01-05,Chhattisgarh,Dakshin Bastar Dantewada,661,1609
2025-01-05,Chhattisgarh,Dantewada,357,875
2025-01-05,Chhattisgarh,Dhamtari,1515,8986
2025-01-05,Chhattisgarh,Durg,3422,15801
2025-01-05,Chhattisgarh,Gariyaband,768,4069
2025-01-05,Chhattisgarh,Gaurela-pendra-marwahi,63,339
2025-01-05,Chhattisgarh,Janjgir-champa,2831,13587
2025-01-05,Chhattisgarh,Jashpur,1488,5051
2025-01-05,Chhattisgarh,Kabeerdham,786,2783
2025-01-05,Chhattisgarh,Kanker,1052,3581
2025-01-05,Chhattisgarh,Kawardha,1238,5710
2025-01-05,Chhattisgarh,Kondagaon,1041,3407
2025-01-05,Chhattisgarh,Korba,2140,7979
2025-01-05,Chhattisgarh,Koriya,1056,4545
2025-01-05,Chhattisgarh,Mahasamund,1642,8428
2025-01-05,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,176,721
2025-01-05,Chhattisgarh,Mungeli,1994,6293
2025-01-05,Chhattisgarh,Narayanpur,572,1936
2025-01-05,Chhattisgarh,Raigarh,2535,13681
2025-01-05,Chhattisgarh,Raipur,4261,18656
2025-01-05,Chhattisgarh,Rajnandgaon,3087,11257
2025-01-05,Chhattisgarh,Sakti,39,360
2025-01-05,Chhattisgarh,Sukma,941,1639
2025-01-05,Chhattisgarh,Surajpur,916,3821
2025-01-05,Chhattisgarh,Surguja,1384,5541
2025-01-05,Chhattisgarh,Uttar Bastar Kanker,397,2398
2025-01-05,Dadra & Nagar Haveli,Dadra & Nagar Haveli,12,103
2025-01-05,Dadra and Nagar Haveli,Dadra and Nagar Haveli,1455,2134
2025-01-05,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,98,256
2025-01-05,Dadra and Nagar Haveli and Daman and Diu,Daman,30,56
2025-01-05,Daman & Diu,Daman,52,130
2025-01-05,Daman & Diu,Diu,34,86
2025-01-05,Daman and Diu,Daman,265,192
2025-01-05,Daman and Diu,Diu,229,116
2025-01-05,Delhi,Central Delhi,3194,4521
